,name,url,hq,headcount
161,Baker Donelson Bearman & Caldwell,http://www.bakerdonelson.com/,"Memphis, Tenn.",249
162,Oppenheimer Wolff & Donnelly,http://www.oppenheimer.com/,Minneapolis,246
163,Irell & Manella,http://www.irell.com/,Los Angeles,245
164,Manatt Phelps & Phillips,http://www.manatt.com/,Los Angeles,244
165,"Fox, Rothschild, OBrien & Frankel",,Philadelphia,240
166,Lathrop & Gage ,http://www.lathropgage.com/,"Kansas City, Mo.",239
167,Crosby Heafey Roach & May,http://www.reedsmith.com/,"Oakland, Calif.",237
168,Williams Mullen,http://www.williamsmullen.com/,"Richmond, Va.",237
169,Pennie & Edmonds,,New York,233
170,Phelps Dunbar,http://www.phelpsdunbar.com/,New Orleans,233
171,Day Pitney,http://www.daypitney.com/,"Hartford, Conn.",231
172,Robins Kaplan Miller & Ciresi ,http://www.rkmc.com/,Minneapolis,231
173,Armstrong Teasdale,http://www.armstrongteasdale.com/,St. Louis,230
174,Gardner Carton & Douglas,http://www.gcd.com/,Chicago,230
175,Ice Miller ,http://www.icemiller.com/,Indianapolis,229
176,Saul Ewing,http://www.saul.com/,Philadelphia,228
177,"Bell, Boyd & Lloyd",,Chicago,226
178,Brown Raysman Millstein Felder & Steiner,,New York,224
179,Strasburger & Price,http://www.strasburger.com/,Dallas,224
180,Adams and Reese,http://www.arlaw.com/,New Orleans,221
181,Wiley Rein & Fielding,http://www.wrf.com/,"Washington, D.C.",221
182,Jones Walker Waechter Poitevent Carrre & Dengre,http://www.jwlaw.com/,New Orleans,217
183,Stites & Harbison,,"Louisville, Ky.",213
184,Vedder Price Kaufman & Kammholz,http://www.vedderprice.com/,Chicago,213
185,Carlton Fields,http://www.carltonfields.com/,"Tampa, Fla.",211
186,Williams & Connolly,http://www.wc.com/,"Washington, D.C.",211
187,"Wildman, Harrold, Allen & Dixon",,Chicago,208
188,Kenyon & Kenyon,http://www.kenyon.com/,New York,206
189,Allen Matkins Leck Gamble & Mallory,http://www.allenmatkins.com/,Los Angeles,205
190,Milberg Weiss Bershad Hynes & Lerach,http://www.milberg.com/,New York,205
191,Thacher Proffitt & Wood,,New York,205
192,Butzel Long,http://www.butzel.com/,Detroit,204
193,Luce Forward Hamilton & Scripps,http://www.luce.com/,San Diego,202
194,Robinson & Cole,http://www.rc.com/,"Hartford, Conn.",202
195,Wyatt Tarrant & Combs,http://www.wyattfirm.com/,"Louisville, Ky.",201
196,Brown Rudnick Berlack Israels,http://www.brownrudnick.com/,Boston,200
197,Dickinson Wright,http://www.dickinson-wright.com/,Detroit,200
198,Taft Stettinius & Hollister,http://www.taftlaw.com/,Cincinnati,197
199,Calfee Halter & Griswold,http://www.calfee.com/,Cleveland,196
200,Honigman Miller Schwartz and Cohn,http://www.honigman.com/,Detroit,195
201,"Pitney, Hardin, Kipp & Szuch",,"Morristown, N.J.",195
202,Steel Hector & Davis,,Miami,195
203,White and Williams,http://www.whitewms.com/,Philadelphia,195
204,Fish & Neave,http://www.fishneave.com/,New York,194
205,Eckert Seamans Cherin & Mellott,http://www.escm.com/,Pittsburgh,193
206,Lowenstein Sandler,http://www.lowenstein.com/,"Roseland, N.J.",193
207,Reinhart Boerner Van Deuren,,Milwaukee,190
208,Hodgson Russ ,http://www.hodgsonruss.com/,"Buffalo, N.Y.",189
209,Holme Roberts & Owen,http://www.hro.com/,Denver,188
210,Warner Norcross & Judd Grand,http://www.wnj.com/,"Rapids, Mich.",185
211,Palmer & Dodge,http://www.palmerdodge.com/,Boston,184
212,Chapman and Cutler,http://www.chapman.com/,Chicago,183
213,Bradley Arant Rose & White,http://www.barw.com/,"Birmingham, Ala.",181
214,Patterson Belknap Webb & Tyler,http://www.pbwt.com/,New York,181
215,Ross & Hardies,,Chicago,181
216,Balch & Bingham,http://www.balch.com/,"Birmingham, Ala.",180
217,Fowler White Boggs Banker,http://www.fowlerwhite.com/,"Tampa, Fla.",180
